Libellé,Classement des communes en zone de revitalisation rurale - ZRR 2018,Classement des communes en loi littoral,Classement des communes en zone de revitalisation des commerces en milieu rural - ZoRCoMiR,Communes des parcs naturels régionaux (PNR),"Communes éligibles au zonage d'aide à finalité régionale (AFR), période 2014-2021",Villes bénéficiaires du programme Action Coeur de Ville (ACV)
Cavigny,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Céaux,C - Classée en ZRR,C - Commune classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Cérences,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Cerisy-la-Forêt,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Cerisy-la-Salle,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Champeaux,NC - Non classée,C - Commune classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Champrepus,C - Classée en ZRR,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Chanteloup,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Chaulieu,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,T - Intégralement,N/A - hors champ
Chavoy,C - Classée en ZRR,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Cherbourg-en-Cotentin,NC - Non classée,C - Commune classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,P - Partiellement,acv060 - Cherbourg-en-Cotentin
Chérencé-le-Héron,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,T - Intégralement,N/A - hors champ
Clitourps,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Colomby,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Condé-sur-Vire,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,P - Partiellement,N/A - hors champ
