Column1,Column2,Column3,Column4
87.10C,Hébergement médicalisé pour adultes handicapés et autre hébergement médicalisé,QB,GS7
87.20A,Hébergement social pour handicapés mentaux et malades mentaux,QB,GS7
87.20B,Hébergement social pour toxicomanes,QB,GS7
87.30A,Hébergement social pour personnes âgées,QB,GS7
87.30B,Hébergement social pour handicapés physiques,QB,GS7
87.90A,Hébergement social pour enfants en difficultés,QB,GS7
87.90B,Hébergement social pour adultes et familles en difficultés et autre hébergement social,QB,GS7
88.10A,Aide à domicile,QB,GS7
88.10B,Accueil ou accompagnement sans hébergement d'adultes handicapés ou de personnes âgées,QB,GS7
88.10C,Aide par le travail,QB,GS7
88.91A,Accueil de jeunes enfants,QB,GS7
88.91B,Accueil ou accompagnement sans hébergement d'enfants handicapés,QB,GS7
88.99A,Autre accueil ou accompagnement sans hébergement d'enfants et d'adolescents,QB,GS7
88.99B,Action sociale sans hébergement n.c.a.,QB,GS7
90.01Z,Arts du spectacle vivant,RZ,GS5
90.02Z,Activités de soutien au spectacle vivant,RZ,GS5
90.03A,Création artistique relevant des arts plastiques,RZ,GS5
90.03B,Autre création artistique,RZ,GS5
90.04Z,Gestion de salles de spectacles,RZ,GS5
91.01Z,Gestion des bibliothèques et des archives,RZ,GS5
91.02Z,Gestion des musées,RZ,GS5
91.03Z,Gestion des sites et monuments historiques et des attractions touristiques similaires,RZ,GS5
91.04Z,Gestion des jardins botaniques et zoologiques et des réserves naturelles,RZ,GS5
92.00Z,Organisation de jeux de hasard et d'argent,RZ,GS5
93.11Z,Gestion d'installations sportives,RZ,GS5
93.12Z,Activités de clubs de sports,RZ,GS5
93.13Z,Activités des centres de culture physique,RZ,GS5
93.19Z,Autres activités liées au sport,RZ,GS5
93.21Z,Activités des parcs d'attractions et parcs à thèmes,RZ,GS5
93.29Z,Autres activités récréatives et de loisirs,RZ,GS5
94.11Z,Activités des organisations patronales et consulaires,SZ,GS5
94.12Z,Activités des organisations professionnelles,SZ,GS5
94.20Z,Activités des syndicats de salariés,SZ,GS5
94.91Z,Activités des organisations religieuses,SZ,GS5
94.92Z,Activités des organisations politiques,SZ,GS5
94.99Z,Autres organisations fonctionnant par adhésion volontaire,SZ,GS5
95.11Z,Réparation d'ordinateurs et d'équipements périphériques,SZ,GS5
95.12Z,Réparation d'équipements de communication,SZ,GS5
95.21Z,Réparation de produits électroniques grand public,SZ,GS5
95.22Z,Réparation d'appareils électroménagers et d'équipements pour la maison et le jardin,SZ,GS5
95.23Z,Réparation de chaussures et d'articles en cuir,SZ,GS5
95.24Z,Réparation de meubles et d'équipements du foyer,SZ,GS5
95.25Z,Réparation d'articles d'horlogerie et de bijouterie,SZ,GS5
95.29Z,Réparation d'autres biens personnels et domestiques,SZ,GS5
96.01A,Blanchisserie-teinturerie de gros,SZ,GS5
96.01B,Blanchisserie-teinturerie de détail,SZ,GS5
96.02A,Coiffure,SZ,GS5
96.02B,Soins de beauté,SZ,GS5
96.03Z,Services funéraires,SZ,GS5
96.04Z,Entretien corporel,SZ,GS5
96.09Z,Autres services personnels n.c.a.,SZ,GS5
97.00Z,Activités des ménages en tant qu'employeurs de personnel domestique,TZ,#N/A
98.10Z,Activités indifférenciées des ménages en tant que producteurs de biens pour usage propre,TZ,#N/A
98.20Z,Activités indifférenciées des ménages en tant que producteurs de services pour usage propre,TZ,#N/A
99.00Z,Activités des organisations et organismes extraterritoriaux,UZ,#N/A
"NAF rév. 2, 2008 - Niveau 5 - Liste des sous-classes",INTITULE DE LA NAF rév. 2,A 38,GS
