Code ROME,Division NAF,Division NAF avec libellé,Division NAF ROME,Label ROME
J1201,72,72 - Recherche-développement scientifique,72 -J1201,Biologie médicale
J1201,86,86 - Activités pour la santé humaine,86 -J1201,Biologie médicale
J1202,86,86 - Activités pour la santé humaine,86 -J1202,Pharmacie
J1301,86,86 - Activités pour la santé humaine,86 -J1301,Personnel polyvalent des services hospitaliers
J1301,87,87 - Hébergement médico-social et social,87 -J1301,Personnel polyvalent des services hospitaliers
J1302,72,72 - Recherche-développement scientifique,72 -J1302,Analyses médicales
J1302,86,86 - Activités pour la santé humaine,86 -J1302,Analyses médicales
J1303,86,86 - Activités pour la santé humaine,86 -J1303,Assistance médico-technique
J1304,86,86 - Activités pour la santé humaine,86 -J1304,Aide en puériculture
J1305,86,86 - Activités pour la santé humaine,86 -J1305,Conduite de véhicules sanitaires
J1306,86,86 - Activités pour la santé humaine,86 -J1306,Imagerie médicale
J1307,86,86 - Activités pour la santé humaine,86 -J1307,Préparation en pharmacie
J1401,32,32 - Autres industries manufacturières,32 -J1401,Audioprothèses
J1401,47,"47 - Commerce de détail, à  l'exception des automobiles et des motocycles",47 -J1401,Audioprothèses
J1401,86,86 - Activités pour la santé humaine,86 -J1401,Audioprothèses
J1402,10,10 - Industries alimentaires,10 -J1402,Diététique
J1402,56,56 - Restauration,56 -J1402,Diététique
J1402,86,86 - Activités pour la santé humaine,86 -J1402,Diététique
J1403,86,86 - Activités pour la santé humaine,86 -J1403,Ergothérapie
J1403,87,87 - Hébergement médico-social et social,87 -J1403,Ergothérapie
J1404,86,86 - Activités pour la santé humaine,86 -J1404,Kinésithérapie
J1404,87,87 - Hébergement médico-social et social,87 -J1404,Kinésithérapie
J1404,93,"93 - Activités sportives, récréatives et de loisirs",93 -J1404,Kinésithérapie
J1405,47,"47 - Commerce de détail, à  l'exception des automobiles et des motocycles",47 -J1405,Optique - lunetterie
J1406,86,86 - Activités pour la santé humaine,86 -J1406,Orthophonie
J1406,87,87 - Hébergement médico-social et social,87 -J1406,Orthophonie
J1407,86,86 - Activités pour la santé humaine,86 -J1407,Orthoptique
J1408,86,86 - Activités pour la santé humaine,86 -J1408,Ostéopathie et chiropraxie
J1408,93,"93 - Activités sportives, récréatives et de loisirs",93 -J1408,Ostéopathie et chiropraxie
J1409,86,86 - Activités pour la santé humaine,86 -J1409,Pédicurie et podologie
J1410,32,32 - Autres industries manufacturières,32 -J1410,Prothèses dentaires
J1410,86,86 - Activités pour la santé humaine,86 -J1410,Prothèses dentaires
J1411,32,32 - Autres industries manufacturières,32 -J1411,Prothèses et orthèses
J1411,86,86 - Activités pour la santé humaine,86 -J1411,Prothèses et orthèses
J1412,86,86 - Activités pour la santé humaine,86 -J1412,Rééducation en psychomotricité
J1412,87,87 - Hébergement médico-social et social,87 -J1412,Rééducation en psychomotricité
J1501,86,86 - Activités pour la santé humaine,86 -J1501,"Soins d'hygiène, de confort du patient"
J1501,87,87 - Hébergement médico-social et social,87 -J1501,"Soins d'hygiène, de confort du patient"
J1502,85,85 - Enseignement,85 -J1502,Coordination de services médicaux ou paramédicaux
J1502,86,86 - Activités pour la santé humaine,86 -J1502,Coordination de services médicaux ou paramédicaux
J1503,86,86 - Activités pour la santé humaine,86 -J1503,Soins infirmiers spécialisés en anesthésie
J1504,86,86 - Activités pour la santé humaine,86 -J1504,Soins infirmiers spécialisés en bloc opératoire
J1505,86,86 - Activités pour la santé humaine,86 -J1505,Soins infirmiers spécialisés en prévention
J1506,86,86 - Activités pour la santé humaine,86 -J1506,Soins infirmiers généralistes
J1506,87,87 - Hébergement médico-social et social,87 -J1506,Soins infirmiers généralistes
J1507,86,86 - Activités pour la santé humaine,86 -J1507,Soins infirmiers spécialisés en puériculture
K1101,84,84 - Administration publique et défense ; sécurité sociale obligatoire,84 -K1101,Accompagnement et médiation familiale
K1101,86,86 - Activités pour la santé humaine,86 -K1101,Accompagnement et médiation familiale
K1101,88,88 - Action sociale sans hébergement,88 -K1101,Accompagnement et médiation familiale
K1102,69,69 - Activités juridiques et comptables,69 -K1102,Aide aux bénéficiaires d'une mesure de protection juridique
K1102,86,86 - Activités pour la santé humaine,86 -K1102,Aide aux bénéficiaires d'une mesure de protection juridique
K1102,88,88 - Action sociale sans hébergement,88 -K1102,Aide aux bénéficiaires d'une mesure de protection juridique
K1103,93,"93 - Activités sportives, récréatives et de loisirs",93 -K1103,Développement personnel et bien-être de la personne
K1103,94,94 - Activités des organisations associatives,94 -K1103,Développement personnel et bien-être de la personne
K1103,96,96 - Autres services personnels,96 -K1103,Développement personnel et bien-être de la personne
K1104,86,86 - Activités pour la santé humaine,86 -K1104,Psychologie
K1104,87,87 - Hébergement médico-social et social,87 -K1104,Psychologie
K1104,88,88 - Action sociale sans hébergement,88 -K1104,Psychologie
K1201,87,87 - Hébergement médico-social et social,87 -K1201,Action sociale
K1201,88,88 - Action sociale sans hébergement,88 -K1201,Action sociale
K1201,94,94 - Activités des organisations associatives,94 -K1201,Action sociale
K1202,55,55 - Hébergement,55 -K1202,éducation de jeunes enfants
K1202,86,86 - Activités pour la santé humaine,86 -K1202,éducation de jeunes enfants
K1202,87,87 - Hébergement médico-social et social,87 -K1202,éducation de jeunes enfants
K1202,88,88 - Action sociale sans hébergement,88 -K1202,éducation de jeunes enfants
K1203,85,85 - Enseignement,85 -K1203,Encadrement technique en insertion professionnelle
K1203,86,86 - Activités pour la santé humaine,86 -K1203,Encadrement technique en insertion professionnelle
K1203,87,87 - Hébergement médico-social et social,87 -K1203,Encadrement technique en insertion professionnelle
K1203,88,88 - Action sociale sans hébergement,88 -K1203,Encadrement technique en insertion professionnelle
K1204,49,49 - Transports terrestres et transport par conduites,49 -K1204,Médiation sociale et facilitation de la vie en société
K1204,85,85 - Enseignement,85 -K1204,Médiation sociale et facilitation de la vie en société
K1204,88,88 - Action sociale sans hébergement,88 -K1204,Médiation sociale et facilitation de la vie en société
K1204,94,94 - Activités des organisations associatives,94 -K1204,Médiation sociale et facilitation de la vie en société
K1205,88,88 - Action sociale sans hébergement,88 -K1205,Information sociale
K1205,94,94 - Activités des organisations associatives,94 -K1205,Information sociale
K1206,87,87 - Hébergement médico-social et social,87 -K1206,Intervention socioculturelle
K1206,88,88 - Action sociale sans hébergement,88 -K1206,Intervention socioculturelle
K1206,94,94 - Activités des organisations associatives,94 -K1206,Intervention socioculturelle
K1207,87,87 - Hébergement médico-social et social,87 -K1207,Intervention socioéducative
K1207,88,88 - Action sociale sans hébergement,88 -K1207,Intervention socioéducative
K1207,94,94 - Activités des organisations associatives,94 -K1207,Intervention socioéducative
K1301,86,86 - Activités pour la santé humaine,86 -K1301,Accompagnement médicosocial
K1301,87,87 - Hébergement médico-social et social,87 -K1301,Accompagnement médicosocial
K1301,88,88 - Action sociale sans hébergement,88 -K1301,Accompagnement médicosocial
K1302,87,87 - Hébergement médico-social et social,87 -K1302,Assistance auprès d'adultes
K1302,88,88 - Action sociale sans hébergement,88 -K1302,Assistance auprès d'adultes
K1302,97,97 - Activités des ménages en tant qu'employeurs de personnel domestique,97 -K1302,Assistance auprès d'adultes
K1303,85,85 - Enseignement,85 -K1303,Assistance auprès d'enfants
K1303,87,87 - Hébergement médico-social et social,87 -K1303,Assistance auprès d'enfants
K1303,88,88 - Action sociale sans hébergement,88 -K1303,Assistance auprès d'enfants
K1303,97,97 - Activités des ménages en tant qu'employeurs de personnel domestique,97 -K1303,Assistance auprès d'enfants
K1304,78,78 - Activités liées à  l'emploi,78 -K1304,Services domestiques
K1304,81,81 - Services relatifs aux bâtiments et aménagement paysager,81 -K1304,Services domestiques
K1304,97,97 - Activités des ménages en tant qu'employeurs de personnel domestique,97 -K1304,Services domestiques
K1305,78,78 - Activités liées à  l'emploi,78 -K1305,Intervention sociale et familiale
K1305,87,87 - Hébergement médico-social et social,87 -K1305,Intervention sociale et familiale
K1305,88,88 - Action sociale sans hébergement,88 -K1305,Intervention sociale et familiale
K1401Conception,84,84 - Administration publique et défense ; sécurité sociale obligatoire,84 -K1401Conception,Conception et pilotage de la politique des pouvoirs publics
K1402,84,84 - Administration publique et défense ; sécurité sociale obligatoire,84 -K1402,Conseil en Santé Publique
K1403,84,84 - Administration publique et défense ; sécurité sociale obligatoire,84 -K1403,"Management de structure de santé, sociale ou pénitentiaire"
K1403,86,86 - Activités pour la santé humaine,86 -K1403,"Management de structure de santé, sociale ou pénitentiaire"
K1403,87,87 - Hébergement médico-social et social,87 -K1403,"Management de structure de santé, sociale ou pénitentiaire"
K1404,84,84 - Administration publique et défense ; sécurité sociale obligatoire,84 -K1404,Mise en oeuvre et pilotage de la politique des pouvoirs publics
K1405,84,84 - Administration publique et défense ; sécurité sociale obligatoire,84 -K1405,Représentation de l'Etat sur le territoire national ou international
K1501,84,84 - Administration publique et défense ; sécurité sociale obligatoire,84 -K1501,Application des règles financières publiques
K1502,84,84 - Administration publique et défense ; sécurité sociale obligatoire,84 -K1502,Contrôle et inspection des Affaires Sociales
K1503,84,84 - Administration publique et défense ; sécurité sociale obligatoire,84 -K1503,Contrôle et inspection des impôts
K1504,84,84 - Administration publique et défense ; sécurité sociale obligatoire,84 -K1504,Contrôle et inspection du Trésor Public
K1505,84,84 - Administration publique et défense ; sécurité sociale obligatoire,84 -K1505,Protection des consommateurs et contrôle des échanges commerciaux
K1601,73,73 - Publicité et études de marché,73 -K1601,Gestion de l'information et de la documentation
K1601,84,84 - Administration publique et défense ; sécurité sociale obligatoire,84 -K1601,Gestion de l'information et de la documentation
K1601,91,"91 - Bibliothèques, archives, musées et autres activités culturelles",91 -K1601,Gestion de l'information et de la documentation
K1602,84,84 - Administration publique et défense ; sécurité sociale obligatoire,84 -K1602,Gestion de patrimoine culturel
K1602,91,"91 - Bibliothèques, archives, musées et autres activités culturelles",91 -K1602,Gestion de patrimoine culturel
K1701,84,84 - Administration publique et défense ; sécurité sociale obligatoire,84 -K1701,Personnel de la Défense
K1702,84,84 - Administration publique et défense ; sécurité sociale obligatoire,84 -K1702,Direction de la sécurité civile et des secours
K1703,84,84 - Administration publique et défense ; sécurité sociale obligatoire,84 -K1703,Direction opérationnelle de la défense
K1704,84,84 - Administration publique et défense ; sécurité sociale obligatoire,84 -K1704,Management de la sécurité publique
