Code ROME,Division NAF,Division NAF avec libellé,Division NAF ROME,Label ROME
L1303,74,"74 - Autres activités spécialisées, scientifiques et techniques",74 -L1303,Promotion d'artistes et de spectacles
L1303,78,78 - Activités liées à  l'emploi,78 -L1303,Promotion d'artistes et de spectacles
L1303,90,"90 - Activités créatives, artistiques et de spectacle",90 -L1303,Promotion d'artistes et de spectacles
L1303,93,"93 - Activités sportives, récréatives et de loisirs",93 -L1303,Promotion d'artistes et de spectacles
L1304,59,"59 - Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale",59 -L1304,Réalisation cinématographique et audiovisuelle
L1304,60,60 - Programmation et diffusion,60 -L1304,Réalisation cinématographique et audiovisuelle
L1401,93,"93 - Activités sportives, récréatives et de loisirs",93 -L1401,Sportif professionnel
L1501,59,"59 - Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale",59 -L1501,Coiffure et maquillage spectacle
L1501,73,73 - Publicité et études de marché,73 -L1501,Coiffure et maquillage spectacle
L1501,74,"74 - Autres activités spécialisées, scientifiques et techniques",74 -L1501,Coiffure et maquillage spectacle
L1501,78,78 - Activités liées à  l'emploi,78 -L1501,Coiffure et maquillage spectacle
L1501,90,"90 - Activités créatives, artistiques et de spectacle",90 -L1501,Coiffure et maquillage spectacle
L1501,93,"93 - Activités sportives, récréatives et de loisirs",93 -L1501,Coiffure et maquillage spectacle
L1502,59,"59 - Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale",59 -L1502,Costume et habillage spectacle
L1502,90,"90 - Activités créatives, artistiques et de spectacle",90 -L1502,Costume et habillage spectacle
L1502,93,"93 - Activités sportives, récréatives et de loisirs",93 -L1502,Costume et habillage spectacle
L1503,59,"59 - Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale",59 -L1503,Décor et accessoires spectacle
L1503,90,"90 - Activités créatives, artistiques et de spectacle",90 -L1503,Décor et accessoires spectacle
L1503,93,"93 - Activités sportives, récréatives et de loisirs",93 -L1503,Décor et accessoires spectacle
L1504,59,"59 - Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale",59 -L1504,éclairage spectacle
L1504,90,"90 - Activités créatives, artistiques et de spectacle",90 -L1504,éclairage spectacle
L1504,93,"93 - Activités sportives, récréatives et de loisirs",93 -L1504,éclairage spectacle
L1505,59,"59 - Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale",59 -L1505,Image cinématographique et télévisuelle
L1505,90,"90 - Activités créatives, artistiques et de spectacle",90 -L1505,Image cinématographique et télévisuelle
L1505,93,"93 - Activités sportives, récréatives et de loisirs",93 -L1505,Image cinématographique et télévisuelle
L1506,59,"59 - Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale",59 -L1506,Machinerie spectacle
L1506,90,"90 - Activités créatives, artistiques et de spectacle",90 -L1506,Machinerie spectacle
L1506,93,"93 - Activités sportives, récréatives et de loisirs",93 -L1506,Machinerie spectacle
L1507,59,"59 - Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale",59 -L1507,Montage et post-production
L1507,60,60 - Programmation et diffusion,60 -L1507,Montage et post-production
L1508,59,"59 - Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale",59 -L1508,Prise de son et sonorisation
L1508,90,"90 - Activités créatives, artistiques et de spectacle",90 -L1508,Prise de son et sonorisation
L1508,93,"93 - Activités sportives, récréatives et de loisirs",93 -L1508,Prise de son et sonorisation
L1509,59,"59 - Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale",59 -L1509,Régie générale
L1509,90,"90 - Activités créatives, artistiques et de spectacle",90 -L1509,Régie générale
L1509,93,"93 - Activités sportives, récréatives et de loisirs",93 -L1509,Régie générale
M1101,70,70 - Activités des sièges sociaux ; conseil de gestion,70 -M1101,Achats
M1101,Fiche transectorielle,Fiche transectorielle,Fiche transectorielle-M1101,Achats
M1102,70,70 - Activités des sièges sociaux ; conseil de gestion,70 -M1102,Direction des achats
M1102,Fiche transectorielle,Fiche transectorielle,Fiche transectorielle-M1102,Direction des achats
M1201,64,"64 - Activités des services financiers, hors assurance et caisses de retraite",64 -M1201,Analyse et ingénierie financière
M1201,65,65 - Assurance,65 -M1201,Analyse et ingénierie financière
M1201,70,70 - Activités des sièges sociaux ; conseil de gestion,70 -M1201,Analyse et ingénierie financière
M1202,69,69 - Activités juridiques et comptables,69 -M1202,Audit et contrôle comptables et financiers
M1202,70,70 - Activités des sièges sociaux ; conseil de gestion,70 -M1202,Audit et contrôle comptables et financiers
M1203,69,69 - Activités juridiques et comptables,69 -M1203,Comptabilité
M1203,82,82 - Activités administratives et autres activités de soutien aux entreprises,82 -M1203,Comptabilité
M1203,Fiche transectorielle,Fiche transectorielle,Fiche transectorielle-M1203,Comptabilité
M1204,69,69 - Activités juridiques et comptables,69 -M1204,Contrôle de gestion
M1204,70,70 - Activités des sièges sociaux ; conseil de gestion,70 -M1204,Contrôle de gestion
M1205,70,70 - Activités des sièges sociaux ; conseil de gestion,70 -M1205,Direction administrative et financière
M1206,70,70 - Activités des sièges sociaux ; conseil de gestion,70 -M1206,Management de groupe ou de service comptable
M1207,64,"64 - Activités des services financiers, hors assurance et caisses de retraite",64 -M1207,Trésorerie et financement
M1207,70,70 - Activités des sièges sociaux ; conseil de gestion,70 -M1207,Trésorerie et financement
M1301,Fiche transectorielle,Fiche transectorielle,Fiche transectorielle-M1301,Direction de grande entreprise ou d'établissement public
M1302,Fiche transectorielle,Fiche transectorielle,Fiche transectorielle-M1302,Direction de petite ou moyenne entreprise
M1401,73,73 - Publicité et études de marché,73 -M1401,Conduite d'enquêtes
M1402,70,70 - Activités des sièges sociaux ; conseil de gestion,70 -M1402,Conseil en organisation et management d'entreprise
M1403,70,70 - Activités des sièges sociaux ; conseil de gestion,70 -M1403,études et prospectives socio-économiques
M1403,73,73 - Publicité et études de marché,73 -M1403,études et prospectives socio-économiques
M1403,94,94 - Activités des organisations associatives,94 -M1403,études et prospectives socio-économiques
M1404,73,73 - Publicité et études de marché,73 -M1404,Management et gestion d'enquêtes
M1501,78,78 - Activités liées à  l'emploi,78 -M1501,Assistanat en ressources humaines
M1501,82,82 - Activités administratives et autres activités de soutien aux entreprises,82 -M1501,Assistanat en ressources humaines
M1501,Fiche transectorielle,Fiche transectorielle,Fiche transectorielle-M1501,Assistanat en ressources humaines
M1502,70,70 - Activités des sièges sociaux ; conseil de gestion,70 -M1502,Développement des ressources humaines
M1502,78,78 - Activités liées à  l'emploi,78 -M1502,Développement des ressources humaines
M1502,Fiche transectorielle,Fiche transectorielle,Fiche transectorielle-M1502,Développement des ressources humaines
M1503,70,70 - Activités des sièges sociaux ; conseil de gestion,70 -M1503,Management des ressources humaines
M1503,78,78 - Activités liées à  l'emploi,78 -M1503,Management des ressources humaines
M1503,Fiche transectorielle,Fiche transectorielle,Fiche transectorielle-M1503,Management des ressources humaines
M1601,82,82 - Activités administratives et autres activités de soutien aux entreprises,82 -M1601,Accueil et renseignements
M1601,Fiche transectorielle,Fiche transectorielle,Fiche transectorielle-M1601,Accueil et renseignements
M1602,82,82 - Activités administratives et autres activités de soutien aux entreprises,82 -M1602,Opérations administratives
M1602,Fiche transectorielle,Fiche transectorielle,Fiche transectorielle-M1602,Opérations administratives
M1603,53,53 - Activités de poste et de courrier,53 -M1603,Distribution de documents
M1603,73,73 - Publicité et études de marché,73 -M1603,Distribution de documents
M1603,82,82 - Activités administratives et autres activités de soutien aux entreprises,82 -M1603,Distribution de documents
M1603,Fiche transectorielle,Fiche transectorielle,Fiche transectorielle-M1603,Distribution de documents
M1604,82,82 - Activités administratives et autres activités de soutien aux entreprises,82 -M1604,Assistanat de direction
M1604,Fiche transectorielle,Fiche transectorielle,Fiche transectorielle-M1604,Assistanat de direction
M1605,82,82 - Activités administratives et autres activités de soutien aux entreprises,82 -M1605,Assistanat technique et administratif
M1605,Fiche transectorielle,Fiche transectorielle,Fiche transectorielle-M1605,Assistanat technique et administratif
M1606,82,82 - Activités administratives et autres activités de soutien aux entreprises,82 -M1606,Saisie de données
M1606,Fiche transectorielle,Fiche transectorielle,Fiche transectorielle-M1606,Saisie de données
M1607,82,82 - Activités administratives et autres activités de soutien aux entreprises,82 -M1607,Secrétariat
M1607,97,97 - Activités des ménages en tant qu'employeurs de personnel domestique,97 -M1607,Secrétariat
M1607,Fiche transectorielle,Fiche transectorielle,Fiche transectorielle-M1607,Secrétariat
M1608,82,82 - Activités administratives et autres activités de soutien aux entreprises,82 -M1608,Secrétariat comptable
M1608,Fiche transectorielle,Fiche transectorielle,Fiche transectorielle-M1608,Secrétariat comptable
M1609,84,84 - Administration publique et défense ; sécurité sociale obligatoire,84 -M1609,Secrétariat et assistanat médical ou médico-social
M1609,86,86 - Activités pour la santé humaine,86 -M1609,Secrétariat et assistanat médical ou médico-social
M1609,87,87 - Hébergement médico-social et social,87 -M1609,Secrétariat et assistanat médical ou médico-social
M1701,70,70 - Activités des sièges sociaux ; conseil de gestion,70 -M1701,Administration des ventes
M1701,Fiche transectorielle,Fiche transectorielle,Fiche transectorielle-M1701,Administration des ventes
M1702,73,73 - Publicité et études de marché,73 -M1702,Analyse de tendance
M1702,74,"74 - Autres activités spécialisées, scientifiques et techniques",74 -M1702,Analyse de tendance
M1703,70,70 - Activités des sièges sociaux ; conseil de gestion,70 -M1703,Management et gestion de produit
M1703,Fiche transectorielle,Fiche transectorielle,Fiche transectorielle-M1703,Management et gestion de produit
M1704,70,70 - Activités des sièges sociaux ; conseil de gestion,70 -M1704,Management relation clientèle
M1704,Fiche transectorielle,Fiche transectorielle,Fiche transectorielle-M1704,Management relation clientèle
M1705,70,70 - Activités des sièges sociaux ; conseil de gestion,70 -M1705,Marketing
M1705,73,73 - Publicité et études de marché,73 -M1705,Marketing
M1705,Fiche transectorielle,Fiche transectorielle,Fiche transectorielle-M1705,Marketing
M1706,70,70 - Activités des sièges sociaux ; conseil de gestion,70 -M1706,Promotion des ventes
M1706,Fiche transectorielle,Fiche transectorielle,Fiche transectorielle-M1706,Promotion des ventes
M1707,70,70 - Activités des sièges sociaux ; conseil de gestion,70 -M1707,Stratégie commerciale
M1707,Fiche transectorielle,Fiche transectorielle,Fiche transectorielle-M1707,Stratégie commerciale
M1801,61,61 - Télécommunications,61 -M1801,Administration de systèmes d'information
M1801,62,"62 - Programmation, conseil et autres activités informatiques",62 -M1801,Administration de systèmes d'information
M1801,63,63 - Services d'information,63 -M1801,Administration de systèmes d'information
M1801,70,70 - Activités des sièges sociaux ; conseil de gestion,70 -M1801,Administration de systèmes d'information
M1802,61,61 - Télécommunications,61 -M1802,Expertise et support technique en systèmes d'information
M1802,62,"62 - Programmation, conseil et autres activités informatiques",62 -M1802,Expertise et support technique en systèmes d'information
M1802,63,63 - Services d'information,63 -M1802,Expertise et support technique en systèmes d'information
M1802,70,70 - Activités des sièges sociaux ; conseil de gestion,70 -M1802,Expertise et support technique en systèmes d'information
M1803,61,61 - Télécommunications,61 -M1803,Direction des systèmes d'information
M1803,62,"62 - Programmation, conseil et autres activités informatiques",62 -M1803,Direction des systèmes d'information
M1803,63,63 - Services d'information,63 -M1803,Direction des systèmes d'information
M1803,70,70 - Activités des sièges sociaux ; conseil de gestion,70 -M1803,Direction des systèmes d'information
M1804,61,61 - Télécommunications,61 -M1804,études et développement de réseaux de télécoms
M1804,62,"62 - Programmation, conseil et autres activités informatiques",62 -M1804,études et développement de réseaux de télécoms
M1804,63,63 - Services d'information,63 -M1804,études et développement de réseaux de télécoms
M1804,70,70 - Activités des sièges sociaux ; conseil de gestion,70 -M1804,études et développement de réseaux de télécoms
M1805,62,"62 - Programmation, conseil et autres activités informatiques",62 -M1805,études et développement informatique
M1805,63,63 - Services d'information,63 -M1805,études et développement informatique
M1805,70,70 - Activités des sièges sociaux ; conseil de gestion,70 -M1805,études et développement informatique
M1806,62,"62 - Programmation, conseil et autres activités informatiques",62 -M1806,Conseil et maîtrise d'ouvrage en systèmes d'information
M1806,63,63 - Services d'information,63 -M1806,Conseil et maîtrise d'ouvrage en systèmes d'information
M1806,70,70 - Activités des sièges sociaux ; conseil de gestion,70 -M1806,Conseil et maîtrise d'ouvrage en systèmes d'information
M1807,84,84 - Administration publique et défense ; sécurité sociale obligatoire,84 -M1807,Exploitation de systèmes de communication et de commandement
M1808,71,71 - Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,71 -M1808,Information géographique
M1808,84,84 - Administration publique et défense ; sécurité sociale obligatoire,84 -M1808,Information géographique
M1809,74,"74 - Autres activités spécialisées, scientifiques et techniques",74 -M1809,Information météorologique
M1809,84,84 - Administration publique et défense ; sécurité sociale obligatoire,84 -M1809,Information météorologique
M1810,61,61 - Télécommunications,61 -M1810,Production et exploitation de systèmes d'information
M1810,62,"62 - Programmation, conseil et autres activités informatiques",62 -M1810,Production et exploitation de systèmes d'information
M1810,63,63 - Services d'information,63 -M1810,Production et exploitation de systèmes d'information
M1810,70,70 - Activités des sièges sociaux ; conseil de gestion,70 -M1810,Production et exploitation de systèmes d'information
N1101,52,52 - Entreposage et services auxiliaires des transports,52 -N1101,Conduite d'engins de déplacement des charges
N1101,Fiche transectorielle,Fiche transectorielle,Fiche transectorielle-N1101,Conduite d'engins de déplacement des charges
N1102,49,49 - Transports terrestres et transport par conduites,49 -N1102,Déménagement
N1103,47,"47 - Commerce de détail, à  l'exception des automobiles et des motocycles",47 -N1103,Magasinage et préparation de commandes
N1103,52,52 - Entreposage et services auxiliaires des transports,52 -N1103,Magasinage et préparation de commandes
N1103,Fiche transectorielle,Fiche transectorielle,Fiche transectorielle-N1103,Magasinage et préparation de commandes
N1104,52,52 - Entreposage et services auxiliaires des transports,52 -N1104,Manoeuvre et conduite d'engins lourds de manutention
N1105,52,52 - Entreposage et services auxiliaires des transports,52 -N1105,Manutention manuelle de charges
N1105,Fiche transectorielle,Fiche transectorielle,Fiche transectorielle-N1105,Manutention manuelle de charges
N1201,49,49 - Transports terrestres et transport par conduites,49 -N1201,Affrètement transport
N1201,50,50 - Transports par eau,50 -N1201,Affrètement transport
N1201,51,51 - Transports aériens,51 -N1201,Affrètement transport
N1201,52,52 - Entreposage et services auxiliaires des transports,52 -N1201,Affrètement transport
N1202,49,49 - Transports terrestres et transport par conduites,49 -N1202,Gestion des opérations de circulation internationale des marchandises
N1202,50,50 - Transports par eau,50 -N1202,Gestion des opérations de circulation internationale des marchandises
N1202,51,51 - Transports aériens,51 -N1202,Gestion des opérations de circulation internationale des marchandises
N1202,52,52 - Entreposage et services auxiliaires des transports,52 -N1202,Gestion des opérations de circulation internationale des marchandises
N1301,49,49 - Transports terrestres et transport par conduites,49 -N1301,Conception et organisation de la chaîne logistique
N1301,50,50 - Transports par eau,50 -N1301,Conception et organisation de la chaîne logistique
N1301,51,51 - Transports aériens,51 -N1301,Conception et organisation de la chaîne logistique
N1301,52,52 - Entreposage et services auxiliaires des transports,52 -N1301,Conception et organisation de la chaîne logistique
N1302,49,49 - Transports terrestres et transport par conduites,49 -N1302,Direction de site logistique
N1302,50,50 - Transports par eau,50 -N1302,Direction de site logistique
N1302,51,51 - Transports aériens,51 -N1302,Direction de site logistique
N1302,52,52 - Entreposage et services auxiliaires des transports,52 -N1302,Direction de site logistique
N1303,43,43 - Travaux de construction spécialisés,43 -N1303,Intervention technique d'exploitation logistique
N1303,47,"47 - Commerce de détail, à  l'exception des automobiles et des motocycles",47 -N1303,Intervention technique d'exploitation logistique
N1303,52,52 - Entreposage et services auxiliaires des transports,52 -N1303,Intervention technique d'exploitation logistique
N1303,86,86 - Activités pour la santé humaine,86 -N1303,Intervention technique d'exploitation logistique
N2101,51,51 - Transports aériens,51 -N2101,Navigation commerciale aérienne
N2102,30,30 - Fabrication d'autres matériels de transport,30 -N2102,Pilotage et navigation technique aérienne
N2102,51,51 - Transports aériens,51 -N2102,Pilotage et navigation technique aérienne
N2201,51,51 - Transports aériens,51 -N2201,Personnel d'escale aéroportuaire
N2201,52,52 - Entreposage et services auxiliaires des transports,52 -N2201,Personnel d'escale aéroportuaire
N2202,52,52 - Entreposage et services auxiliaires des transports,52 -N2202,Contrôle de la navigation aérienne
N2202,84,84 - Administration publique et défense ; sécurité sociale obligatoire,84 -N2202,Contrôle de la navigation aérienne
N2203,51,51 - Transports aériens,51 -N2203,Exploitation des pistes aéroportuaires
N2203,52,52 - Entreposage et services auxiliaires des transports,52 -N2203,Exploitation des pistes aéroportuaires
N2204,51,51 - Transports aériens,51 -N2204,Préparation des vols
N2204,52,52 - Entreposage et services auxiliaires des transports,52 -N2204,Préparation des vols
N2205,51,51 - Transports aériens,51 -N2205,Direction d'escale et exploitation aéroportuaire
N2205,52,52 - Entreposage et services auxiliaires des transports,52 -N2205,Direction d'escale et exploitation aéroportuaire
N3101,50,50 - Transports par eau,50 -N3101,Encadrement de la navigation maritime
N3101,52,52 - Entreposage et services auxiliaires des transports,52 -N3101,Encadrement de la navigation maritime
N3102,50,50 - Transports par eau,50 -N3102,Equipage de la navigation maritime
N3102,52,52 - Entreposage et services auxiliaires des transports,52 -N3102,Equipage de la navigation maritime
N3103,50,50 - Transports par eau,50 -N3103,Navigation fluviale
N3201,50,50 - Transports par eau,50 -N3201,Exploitation des opérations portuaires et du transport maritime
N3201,52,52 - Entreposage et services auxiliaires des transports,52 -N3201,Exploitation des opérations portuaires et du transport maritime
N3202,50,50 - Transports par eau,50 -N3202,Exploitation du transport fluvial
N3202,52,52 - Entreposage et services auxiliaires des transports,52 -N3202,Exploitation du transport fluvial
N3203,50,50 - Transports par eau,50 -N3203,Manutention portuaire
N3203,52,52 - Entreposage et services auxiliaires des transports,52 -N3203,Manutention portuaire
N4101,47,"47 - Commerce de détail, à  l'exception des automobiles et des motocycles",47 -N4101,Conduite de transport de marchandises sur longue distance
N4101,49,49 - Transports terrestres et transport par conduites,49 -N4101,Conduite de transport de marchandises sur longue distance
N4102,49,49 - Transports terrestres et transport par conduites,49 -N4102,Conduite de transport de particuliers
N4102,97,97 - Activités des ménages en tant qu'employeurs de personnel domestique,97 -N4102,Conduite de transport de particuliers
N4103,49,49 - Transports terrestres et transport par conduites,49 -N4103,Conduite de transport en commun sur route
N4103,79,"79 - Activités des agences de voyage, voyagistes, services de réservation et activités connexes",79 -N4103,Conduite de transport en commun sur route
N4104,38,"38 - Collecte, traitement et élimination des déchets ; récupération",38 -N4104,Courses et livraisons express
N4104,53,53 - Activités de poste et de courrier,53 -N4104,Courses et livraisons express
N4104,56,56 - Restauration,56 -N4104,Courses et livraisons express
N4104,86,86 - Activités pour la santé humaine,86 -N4104,Courses et livraisons express
N4105,47,"47 - Commerce de détail, à  l'exception des automobiles et des motocycles",47 -N4105,Conduite et livraison par tournées sur courte distance
N4105,49,49 - Transports terrestres et transport par conduites,49 -N4105,Conduite et livraison par tournées sur courte distance
N4105,53,53 - Activités de poste et de courrier,53 -N4105,Conduite et livraison par tournées sur courte distance
N4201,49,49 - Transports terrestres et transport par conduites,49 -N4201,Direction d'exploitation des transports routiers de marchandises
N4201,52,52 - Entreposage et services auxiliaires des transports,52 -N4201,Direction d'exploitation des transports routiers de marchandises
N4201,53,53 - Activités de poste et de courrier,53 -N4201,Direction d'exploitation des transports routiers de marchandises
N4202,49,49 - Transports terrestres et transport par conduites,49 -N4202,Direction d'exploitation des transports routiers de personnes
N4202,53,53 - Activités de poste et de courrier,53 -N4202,Direction d'exploitation des transports routiers de personnes
N4202,86,86 - Activités pour la santé humaine,86 -N4202,Direction d'exploitation des transports routiers de personnes
N4203,49,49 - Transports terrestres et transport par conduites,49 -N4203,Intervention technique d'exploitation des transports routiers de marchandises
N4203,52,52 - Entreposage et services auxiliaires des transports,52 -N4203,Intervention technique d'exploitation des transports routiers de marchandises
N4203,53,53 - Activités de poste et de courrier,53 -N4203,Intervention technique d'exploitation des transports routiers de marchandises
N4204,49,49 - Transports terrestres et transport par conduites,49 -N4204,Intervention technique d'exploitation des transports routiers de personnes
N4204,86,86 - Activités pour la santé humaine,86 -N4204,Intervention technique d'exploitation des transports routiers de personnes
N4301,49,49 - Transports terrestres et transport par conduites,49 -N4301,Conduite sur rails
N4302,49,49 - Transports terrestres et transport par conduites,49 -N4302,Contrôle des transports en commun
N4401,49,49 - Transports terrestres et transport par conduites,49 -N4401,Circulation du réseau ferré
N4402,49,49 - Transports terrestres et transport par conduites,49 -N4402,Exploitation et manoeuvre des remontées mécaniques
N4403,49,49 - Transports terrestres et transport par conduites,49 -N4403,Manoeuvre du réseau ferré
N4403,52,52 - Entreposage et services auxiliaires des transports,52 -N4403,Manoeuvre du réseau ferré
